LocationID,trip_count,total_fare,avg_fare,avg_distance,avg_tip,Zone,Borough,latitude,longitude,intensity
127,732,24039.61,32.84099726775956,6.6607377049180325,0.2477185792349727,Inwood,Manhattan,40.7128,-74.006,0.01313028036377334
228,720,24473.43,33.990875,5.13475,0.33470833333333333,Sunset Park West,Brooklyn,40.7128,-74.006,0.012915029866006565
14,695,24604.19,35.40171223021583,6.865136690647483,0.4402014388489209,Bay Ridge,Brooklyn,40.7128,-74.006,0.012466591328992449
10,660,31680.57,48.00086363636363,8.44409090909091,4.081348484848485,Baisley Park,Queens,40.7128,-74.006,0.011838777377172685
247,659,19000.99,28.833065250379367,5.318831562974204,0.09261001517450683,West Concourse,Bronx,40.7128,-74.006,0.01182083983569212
198,658,19552.75,29.715425531914892,4.013465045592706,0.3130699088145897,Ridgewood,Queens,40.7128,-74.006,0.011802902294211555
213,654,21972.45,33.597018348623855,7.09908256880734,0.11206422018348625,Soundview/Castle Hill,Bronx,40.7128,-74.006,0.011731152128289297
189,651,21426.21,32.91276497695853,4.109247311827957,0.7047311827956989,Prospect Heights,Brooklyn,40.7128,-74.006,0.011677339503847603
195,650,25785.63,39.6702,6.695676923076922,2.647292307692308,Red Hook,Brooklyn,40.7128,-74.006,0.011659401962367038
40,638,20812.54,32.62153605015674,4.203432601880878,0.836755485893417,Carroll Gardens,Brooklyn,40.7128,-74.006,0.011444151464600262
182,620,22408.86,36.14332258064516,8.053774193548387,0.019338709677419356,Parkchester,Bronx,40.7128,-74.006,0.011121275717950099
159,617,18216.33,29.52403565640195,5.610777957860615,0.1459967585089141,Melrose South,Bronx,40.7128,-74.006,0.011067463093508404
55,612,23441.95,38.30383986928105,9.707777777777778,0.0677124183006536,Coney Island,Brooklyn,40.7128,-74.006,0.01097777538610558
52,610,20205.83,33.12431147540984,4.249442622950819,1.756049180327869,Cobble Hill,Brooklyn,40.7128,-74.006,0.010941900303144451
51,600,23804.1,39.6735,71.11196666666666,0.09228333333333334,Co-Op City,Bronx,40.7128,-74.006,0.010762524888338804
63,600,19188.66,31.9811,5.4947,0.0826,Cypress Hills,Brooklyn,40.7128,-74.006,0.010762524888338804
85,590,19132.58,32.428101694915256,5.32635593220339,0.15161016949152542,Erasmus,Brooklyn,40.7128,-74.006,0.010583149473533157
215,566,21250.07,37.54429328621908,8.228498233215548,1.3944522968197879,South Jamaica,Queens,40.7128,-74.006,0.010152648477999605
77,535,16509.64,30.859140186915887,6.099364485981308,0.1949532710280374,East New York/Pennsylvania Avenue,Brooklyn,40.7128,-74.006,0.009596584692102101
235,532,17406.73,32.71941729323308,7.329454887218045,0.043778195488721805,University Heights/Morris Heights,Bronx,40.7128,-74.006,0.009542772067660407
254,528,19741.0,37.38825757575758,9.120473484848484,0.1168939393939394,Williamsbridge/Olinville,Bronx,40.7128,-74.006,0.009471021901738147
205,517,19320.5,37.370406189555126,8.605628626692456,0.07936170212765958,Saint Albans,Queens,40.7128,-74.006,0.009273708945451936
167,515,15717.0,30.518446601941747,5.892737864077669,0.07819417475728155,Morrisania/Melrose,Bronx,40.7128,-74.006,0.009237833862490807
117,503,22355.51,44.44435387673956,12.088449304174949,0.006878727634194831,Hammels/Arverne,Queens,40.7128,-74.006,0.009022583364724031
133,463,15836.26,34.20358531317495,5.579460043196544,0.14382289416846653,Kensington,Brooklyn,40.7128,-74.006,0.008305081705501444
241,452,15252.07,33.743517699115046,7.223318584070797,0.08506637168141594,Van Cortlandt Village,Bronx,40.7128,-74.006,0.008107768749215233
258,451,14277.93,31.65838137472284,5.509534368070954,0.12937915742793793,Woodhaven,Queens,40.7128,-74.006,0.008089831207734668
26,447,13815.68,30.9075615212528,4.925950782997763,0.03178970917225951,Borough Park,Brooklyn,40.7128,-74.006,0.00801808104181241
56,446,14781.42,33.14219730941704,6.126412556053812,0.45228699551569507,Corona,Queens,40.7128,-74.006,0.008000143500331845
78,442,14824.78,33.54022624434389,7.325113122171945,0.02574660633484163,East Tremont,Bronx,40.7128,-74.006,0.007928393334409586
119,426,13846.77,32.50415492957747,6.453215962441315,0.06523474178403756,Highbridge,Bronx,40.7128,-74.006,0.0076413926707205515
196,423,13445.74,31.78661938534279,5.467068557919622,0.5100945626477542,Rego Park,Queens,40.7128,-74.006,0.007587580046278857
155,421,13384.95,31.793230403800475,5.618788598574821,0.23304038004750594,Marine Park/Mill Basin,Brooklyn,40.7128,-74.006,0.007551704963317728
169,412,12796.19,31.058713592233012,6.0056067961165045,0.014563106796116505,Mount Hope,Bronx,40.7128,-74.006,0.007390267089992646
28,407,14958.29,36.752555282555285,6.512211302211302,1.2314004914004915,Briarwood/Jamaica Hills,Queens,40.7128,-74.006,0.007300579382589822
86,404,18181.34,45.00331683168317,12.369084158415841,0.09371287128712871,Far Rockaway,Queens,40.7128,-74.006,0.0072467667581481284
191,400,14464.6,36.161500000000004,8.811725000000001,0.047275,Queens Village,Queens,40.7128,-74.006,0.007175016592225869
222,399,13881.03,34.789548872180454,7.827243107769424,0.05974937343358396,Starrett City,Brooklyn,40.7128,-74.006,0.007157079050745305
265,395,36052.46,91.27205063291139,4.381417721518988,7.119392405063291,,Unknown,40.7128,-74.006,0.0070853288848230465
218,395,14622.61,37.01926582278481,9.366430379746834,0.10341772151898734,Springfield Gardens North,Queens,40.7128,-74.006,0.0070853288848230465
83,393,11762.63,29.93035623409669,3.9391094147582697,1.0868702290076335,Elmhurst/Maspeth,Queens,40.7128,-74.006,0.007049453801861917
165,392,12283.03,31.334260204081634,5.508954081632654,0.19079081632653064,Midwood,Brooklyn,40.7128,-74.006,0.007031516260381352
92,381,12663.04,33.23632545931759,6.635643044619422,0.17409448818897638,Flushing,Queens,40.7128,-74.006,0.006834203304095141
18,373,12118.07,32.48812332439678,6.80970509383378,0.11225201072386058,Bedford Park,Bronx,40.7128,-74.006,0.0066907029722506235
134,369,14093.92,38.19490514905149,5.032086720867208,1.6905962059620598,Kew Gardens,Queens,40.7128,-74.006,0.006618952806328364
220,369,12135.3,32.886991869918695,6.612710027100271,0.4105691056910569,Spuyten Duyvil/Kingsbridge,Bronx,40.7128,-74.006,0.006618952806328364
157,368,10968.47,29.805625,4.134891304347827,1.2588858695652174,Maspeth,Queens,40.7128,-74.006,0.0066010152648478
210,364,11540.84,31.705604395604396,7.072774725274725,0.01098901098901099,Sheepshead Bay,Brooklyn,40.7128,-74.006,0.006529265098925542
106,360,11776.8,32.71333333333333,4.19975,0.6071944444444445,Gowanus,Brooklyn,40.7128,-74.006,0.006457514933003282
47,356,11080.65,31.125421348314607,6.421938202247191,0.06730337078651685,Claremont/Bathgate,Bronx,40.7128,-74.006,0.006385764767081024
212,353,11893.94,33.69388101983003,7.011416430594902,0.07736543909348442,Soundview/Bruckner,Bronx,40.7128,-74.006,0.00633195214263933
219,352,16860.34,47.89869318181818,9.663664772727273,3.153522727272727,Springfield Gardens South,Queens,40.7128,-74.006,0.006314014601158765
248,342,12065.13,35.27815789473684,6.872105263157894,0.06295321637426901,West Farms/Bronx River,Bronx,40.7128,-74.006,0.006134639186353119
22,338,10336.77,30.582159763313612,5.827988165680473,0.05766272189349113,Bensonhurst West,Brooklyn,40.7128,-74.006,0.006062889020430859
250,331,10941.35,33.05543806646526,6.87416918429003,0.07622356495468278,Westchester Village/Unionport,Bronx,40.7128,-74.006,0.005937326230066907
126,325,10088.37,31.041138461538463,334.4764,0.12313846153846153,Hunts Point,Bronx,40.7128,-74.006,0.005829700981183519
174,323,10798.69,33.43247678018576,7.438978328173374,0.052662538699690405,Norwood,Bronx,40.7128,-74.006,0.0057938258982223895
81,313,11526.76,36.82670926517572,8.821629392971246,0.0,Eastchester,Bronx,40.7128,-74.006,0.005614450483416743
257,313,11033.27,35.25006389776358,5.810351437699681,0.3024600638977636,Windsor Terrace,Brooklyn,40.7128,-74.006,0.005614450483416743
